Id,Predicted
1,301
2,3409
3,6492
4,1491
5,8297
6,3850
7,5220
8,4612
9,9636
10,5130
11,28
12,2546
13,5807
14,4897
15,81
16,2760
17,3251
18,3450
19,5801
20,5130
21,7968
22,25
23,7647
24,8704
25,8250
26,2788
27,5227
28,8739
29,5807
30,2491
31,1353
32,4027
33,8699
34,340
35,7487
36,4920
37,5936
38,9482
39,9218
40,3989
41,7380
42,3833
43,8683
44,2989
45,6156
46,1016
47,9398
48,7487
49,6751
50,4391
51,4106
52,1420
53,3085
54,7114
55,2139
56,2172
57,6455
58,940
59,771
60,9066
61,130
62,9014
63,1380
64,6128
65,9073
66,5842
67,8746
68,6861
69,1509
70,2136
71,9911
72,4578
73,6898
74,7312
75,7680
76,2268
77,8230
78,872
79,1876
80,340
81,4925
82,7114
83,8479
84,8976
85,3414
86,1885
87,8930
88,1204
89,4699
90,2371
91,807
92,6834
93,8272
94,2382
95,1416
96,1769
97,6455
98,7295
99,3220
100,2490
101,1935
102,5968
103,1045
104,5968
105,7750
106,6221
107,9539
108,5396
109,7505
110,1491
111,7479
112,5133
113,5588
114,2546
115,8224
116,6450
117,2831
118,8429
119,9602
120,8705
121,3809
122,319
123,8704
124,8179
125,3018
126,6478
127,9973
128,3912
129,1962
130,1529
131,1584
132,5677
133,8152
134,7866
135,8271
136,1524
137,979
138,6558
139,6037
140,8654
141,4027
142,4267
143,3688
144,256
145,6198
146,3861
147,2856
148,5747
149,7935
150,8595
151,5801
152,536
153,3982
154,8244
155,7249
156,1318
157,4843
158,7901
159,3389
160,1884
161,8014
162,9065
163,7487
164,2393
165,7368
166,8167
167,1637
168,3039
169,6758
170,1529
171,3809
172,4621
173,7537
174,9148
175,8049
176,9629
177,7281
178,5517
179,7736
180,6135
181,9765
182,3767
183,2248
184,3874
185,8897
186,8414
187,8049
188,5646
189,113
190,1146
191,1601
192,6180
193,8696
194,9437
195,2876
196,9953
197,2012
198,7448
199,4562
200,1626
201,7693
202,8839
203,7660
204,9646
205,7316
206,1336
207,8905
208,2741
209,6245
210,1613
211,5713
212,7952
213,5182
214,6428
215,5050
216,4400
217,76
218,7760
219,8599
220,2351
221,2990
222,8272
223,2035
224,7487
225,6285
226,1256
227,5181
228,9909
229,8176
230,1588
231,3767
232,1518
233,6064
234,9398
235,1210
236,1518
237,5282
238,1166
239,7036
240,5208
241,3743
242,4551
243,5651
244,7672
245,2481
246,6549
247,6492
248,2363
249,7362
250,2016
251,5328
252,6455
253,3174
254,2341
255,2400
256,5747
257,9516
258,7952
259,7935
260,340
261,1567
262,1509
263,1760
264,1872
265,3936
266,6156
